CalendarDate,WeekId,WeekStartDate,MonthId,QuarterId,YearId
2024-04-01,20240401,2024-04-01,202404,2024Q2,2024
2024-04-02,20240401,2024-04-01,202404,2024Q2,2024
2024-04-03,20240401,2024-04-01,202404,2024Q2,2024
2024-04-04,20240401,2024-04-01,202404,2024Q2,2024
2024-04-05,20240401,2024-04-01,202404,2024Q2,2024
2024-04-06,20240401,2024-04-01,202404,2024Q2,2024
2024-04-07,20240401,2024-04-01,202404,2024Q2,2024
2024-04-08,20240408,2024-04-08,202404,2024Q2,2024
2024-04-09,20240408,2024-04-08,202404,2024Q2,2024
2024-04-10,20240408,2024-04-08,202404,2024Q2,2024
2024-04-11,20240408,2024-04-08,202404,2024Q2,2024
2024-04-12,20240408,2024-04-08,202404,2024Q2,2024
2024-04-13,20240408,2024-04-08,202404,2024Q2,2024
2024-04-14,20240408,2024-04-08,202404,2024Q2,2024
2024-04-15,20240415,2024-04-15,202404,2024Q2,2024
2024-04-16,20240415,2024-04-15,202404,2024Q2,2024
2024-04-17,20240415,2024-04-15,202404,2024Q2,2024
2024-04-18,20240415,2024-04-15,202404,2024Q2,2024
2024-04-19,20240415,2024-04-15,202404,2024Q2,2024
2024-04-20,20240415,2024-04-15,202404,2024Q2,2024
2024-04-21,20240415,2024-04-15,202404,2024Q2,2024
2024-04-22,20240422,2024-04-22,202404,2024Q2,2024
2024-04-23,20240422,2024-04-22,202404,2024Q2,2024
2024-04-24,20240422,2024-04-22,202404,2024Q2,2024
2024-04-25,20240422,2024-04-22,202404,2024Q2,2024
2024-04-26,20240422,2024-04-22,202404,2024Q2,2024
2024-04-27,20240422,2024-04-22,202404,2024Q2,2024
2024-04-28,20240422,2024-04-22,202404,2024Q2,2024
2024-04-29,20240429,2024-04-29,202404,2024Q2,2024
2024-04-30,20240429,2024-04-29,202404,2024Q2,2024
2024-05-01,20240429,2024-04-29,202405,2024Q2,2024
2024-05-02,20240429,2024-04-29,202405,2024Q2,2024
2024-05-03,20240429,2024-04-29,202405,2024Q2,2024
2024-05-04,20240429,2024-04-29,202405,2024Q2,2024
2024-05-05,20240429,2024-04-29,202405,2024Q2,2024
2024-05-06,20240506,2024-05-06,202405,2024Q2,2024
2024-05-07,20240506,2024-05-06,202405,2024Q2,2024
2024-05-08,20240506,2024-05-06,202405,2024Q2,2024
2024-05-09,20240506,2024-05-06,202405,2024Q2,2024
2024-05-10,20240506,2024-05-06,202405,2024Q2,2024
2024-05-11,20240506,2024-05-06,202405,2024Q2,2024
2024-05-12,20240506,2024-05-06,202405,2024Q2,2024
2024-05-13,20240513,2024-05-13,202405,2024Q2,2024
2024-05-14,20240513,2024-05-13,202405,2024Q2,2024
2024-05-15,20240513,2024-05-13,202405,2024Q2,2024
2024-05-16,20240513,2024-05-13,202405,2024Q2,2024
2024-05-17,20240513,2024-05-13,202405,2024Q2,2024
2024-05-18,20240513,2024-05-13,202405,2024Q2,2024
2024-05-19,20240513,2024-05-13,202405,2024Q2,2024
2024-05-20,20240520,2024-05-20,202405,2024Q2,2024
2024-05-21,20240520,2024-05-20,202405,2024Q2,2024
2024-05-22,20240520,2024-05-20,202405,2024Q2,2024
2024-05-23,20240520,2024-05-20,202405,2024Q2,2024
2024-05-24,20240520,2024-05-20,202405,2024Q2,2024
2024-05-25,20240520,2024-05-20,202405,2024Q2,2024
2024-05-26,20240520,2024-05-20,202405,2024Q2,2024
2024-05-27,20240527,2024-05-27,202405,2024Q2,2024
2024-05-28,20240527,2024-05-27,202405,2024Q2,2024
2024-05-29,20240527,2024-05-27,202405,2024Q2,2024
2024-05-30,20240527,2024-05-27,202405,2024Q2,2024
2024-05-31,20240527,2024-05-27,202405,2024Q2,2024
2024-06-01,20240527,2024-05-27,202406,2024Q2,2024
2024-06-02,20240527,2024-05-27,202406,2024Q2,2024
2024-06-03,20240603,2024-06-03,202406,2024Q2,2024
2024-06-04,20240603,2024-06-03,202406,2024Q2,2024
2024-06-05,20240603,2024-06-03,202406,2024Q2,2024
2024-06-06,20240603,2024-06-03,202406,2024Q2,2024
2024-06-07,20240603,2024-06-03,202406,2024Q2,2024
2024-06-08,20240603,2024-06-03,202406,2024Q2,2024
2024-06-09,20240603,2024-06-03,202406,2024Q2,2024
2024-06-10,20240610,2024-06-10,202406,2024Q2,2024
2024-06-11,20240610,2024-06-10,202406,2024Q2,2024
2024-06-12,20240610,2024-06-10,202406,2024Q2,2024
2024-06-13,20240610,2024-06-10,202406,2024Q2,2024
2024-06-14,20240610,2024-06-10,202406,2024Q2,2024
2024-06-15,20240610,2024-06-10,202406,2024Q2,2024
2024-06-16,20240610,2024-06-10,202406,2024Q2,2024
2024-06-17,20240617,2024-06-17,202406,2024Q2,2024
2024-06-18,20240617,2024-06-17,202406,2024Q2,2024
2024-06-19,20240617,2024-06-17,202406,2024Q2,2024
2024-06-20,20240617,2024-06-17,202406,2024Q2,2024
2024-06-21,20240617,2024-06-17,202406,2024Q2,2024
2024-06-22,20240617,2024-06-17,202406,2024Q2,2024
2024-06-23,20240617,2024-06-17,202406,2024Q2,2024
2024-06-24,20240624,2024-06-24,202406,2024Q2,2024
2024-06-25,20240624,2024-06-24,202406,2024Q2,2024
2024-06-26,20240624,2024-06-24,202406,2024Q2,2024
2024-06-27,20240624,2024-06-24,202406,2024Q2,2024
2024-06-28,20240624,2024-06-24,202406,2024Q2,2024
2024-06-29,20240624,2024-06-24,202406,2024Q2,2024
2024-06-30,20240624,2024-06-24,202406,2024Q2,2024
2024-07-01,20240701,2024-07-01,202407,2024Q3,2024
2024-07-02,20240701,2024-07-01,202407,2024Q3,2024
2024-07-03,20240701,2024-07-01,202407,2024Q3,2024
2024-07-04,20240701,2024-07-01,202407,2024Q3,2024
2024-07-05,20240701,2024-07-01,202407,2024Q3,2024
2024-07-06,20240701,2024-07-01,202407,2024Q3,2024
2024-07-07,20240701,2024-07-01,202407,2024Q3,2024
